aine_kood,nimi_et,eap,semester,kirjeldus,toimumisajad,oppejoud,opivaljundid,keel,hindamisskaala,asukoht,oppeaste,hindmaismeetod,miinimumnouded,eeldusained
LTAT.06.013,Võrgutehnoloogia II,6.0,kevad,"Kursus baseerub Cisco CCNA õppematerjali kahel moodulil: ""Switching, Routing and Wireless Essentials (SRWE) v7"" ja ""Enterprise Networking, Security and Automation (ENSA) v7"". Praktikumides kasutatakse Cisco kommutaatoreid ja marsruutereid.",,"Amnir Hadachi, Erkki Kukk, Mark Samoilov, Robert Tiismus",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, magistriõpe","32% lõpphindest (2 teoreetilist testi valikvastustega õppeklassis ilma materjalideta)
32% lõpphindest (praktiline ülesanne laboriklassis, lubatud ühe märkmetega A4 lehe kasutamine)
20% lõpphindest (10 Chapter testi kodus)
16% lõpphindest (Praktikumides osalemine - 16 praktikumi)",Moodulitestidest lõppskoor vähemalt 51% ja praktikumidest vähemalt pooltes osalemine,LTAT.06.004 Võrgutehnoloogia I
LOFY.01.091,Füüsikaline maailmapilt,6.0,kevad,"Üliõpilaste varasemaid füüsikateadmisi eeldamata viiakse nad kiiresti kaasaegse füüsika põhiideedeni (aine ja väli, fermionid ja bosonid, tõrjutusprintsiip, energia minimiseerumine, absoluutkiirus, dualism, määramatus). Kuulajate teadvuses püütakse eelkõige tekitada füüsikalisi protsesse peegeldavaid kujutluspilte. Matemaatiliste meetodite rakendamise kohta füüsikas tuuakse markantseid näiteid (diferentseerimine, integreerimine, kompleksarvud). Käsitluse üldist matemaatilist rangust ei taotleta.","Esmaspäev, Teisipäev, Kolmapäev, Laupäev","Kalev Tarkpea, Veera Krasnenko",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,"Kõigi kontrolltööde positiivne sooritus (rohkem kui poolte võimalike punktide saamine iga töö eest) eksamile pääsemiseks veel vajalik ei ole, kuid see on nõutav lõpptulemuse saamisel. Esimene kontrolltöö mõõdab väljundi 2 saavutatust ja kolm viimast kontrollivad väljundi 6 (arvutusülesannete lahendamise oskus) olemasolu. Eksamitöös on eraldi nõutavad väljundite 1, 3 ja 5 saavutatust kontrollivate ülesannete positiivsed sooritused. Väljundi 4 (matemaatilised meetodid füüsikas) saavutatus on vajalik kõrge hinde (A või B) saamiseks. Lisavastamist varasemast kõrgema lõpphinde saamiseks võivad taotleda üliõpilased, kes kirjalikes kontrollivormides on kogunud üle 70% punktidest. Mistahes kirjaliku kontrollivormi sooritamisel on lubatud kasutada ise valmistatud valemite lehte, mis tohib sisaldada ainult valemeid, mitte seletavaid sõnu ega jooniseid. Nõutav on selline materjalis orienteerumise oskus, mis võimaldab vajalikku valemit ilma lisaselgitusteta ära tunda. Peast tuleb teada valemites sisalduvate märkide tähendust, mitte valemeid endid.","Tehakse 4 kontrolltööd, millest kaks esimest annavad kuni 15% ja kaks ülejäänut kuni 20% eksamihindest. Kuni 30% annab eksamitöö. Eksamile lubatakse kõik, kes on kogunud kontrolltöödega üle 35% punktidest (pool või enam kontrolltööde eest saadavast 70%-st).",
LTAT.06.011,Autonoomse juhtimise alused,6.0,kevad,"Õppeainel käsitletavad teemad:
* Lokaliseerimine
* Kaardistamine
* Samaaegne lokaliseerimine ja kaardistamine
* Liikumise kavandamine
* Kontroll
* Tunnetamine ja tajumine
* Anduri liitmine
* Interaktsioonide ja käitumise modelleerimine
* Otsast lõpuni lähenemised",,"Dmytro Zabolotnii, Naveed Muhammad, Tambet Matiisen",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"doktoriõpe, magistriõpe","In order to pass the course, a student needs to complete each lab task in each lab session (graded based on submitted report and code) as well as achieve at least 50% average score in the three oral exams held during the course.","In order to pass the course, a student needs to complete each lab task in each lab session (graded based on submitted report and code) as well as achieve at least 50% average score in the three oral exams held during the course.",
FLEE.02.042,Eesti õigekeelsus ja väljendusõpetus,3.0,kevad,"Ainekava jaguneb kolmeks mooduliks.
1. Erialakeel: erialakeele põhijooned, infootsing, erialateksti lugemine ja kirjutamine, slaidiesitluse või vaatmiku tegemine
2. Kirjutamine: kirjutamisprotsessi kavandamine, infootsing, tagasisidestamine, teksti struktureerimine ja viimistlemine
3. Tarbetekst: e-kiri, motivatsioonikiri, elulookirjeldus

Moodulite sisu kohandatakse õpetatava rühma järgi.",,"Andra Annuka-Loik, Kirsi Laanesoo-Kalk, Maigi Vija, Riina Reinsalu",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,Olenevalt rühmast kujuneb lõplik tulemus kas semestri jooksul tehtavate iseseisvate tööde ja/või semestri lõpus tehtava arvestustöö põhjal.,Nõuetekohaselt tehtud iseseisvad tööd ja osavõtt seminaridest.,
P2VK.02.057,Rütmika I,3.0,sügis,Praktikumides antakse teoreetilised teadmised ja praktilised oskused rütmikombinatsioonide omandamiseks.,,"Kristo Joosep, Marko Mägi",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Viljandi linn,rakenduskõrgharidusõpe,Arvestusel käsitletakse kursuse jooksul läbitud harjutusi ja rütme.,"Praktikumises osalemine vähemalt 80 %, iseseisvate tööde sooritamine.",
FLAJ.02.137,Digitaalne arhiivindus ja dokumendihaldus,3.0,kevad,"Käsitletakse digitaalse arhiveerimise ja elektroonilise dokumendihalduse mitmekülgsust ja keerukust. Tegeldakse järgmiste teemadega: 
*	teoreetilised ja tehnoloogilised alused; 
*	valdkonna põhiprintsiibid; 
*	rahvusvahelised standardid ja Eesti regulatsioonid; 
*	aktuaalsed tehnoloogilised lahendused.",,"Aigi Rahi-Tamm, Tarvo Kärberg",,eesti keel,"Eristamata (arv, m.arv, mi)",,magistriõpe,Positiivse tulemuse saamiseks peab testide aritmeetiline keskmine olema suurem või võrdne kui 51 % maksimumist.,Testide rahuldav sooritamine.,
P2OG.02.216,Inimõiguste praktika,6.0,kevad,"The practice must involve the accomplishment of law-related tasks (focusing either on international law or human rights aspects), under the supervision of a person preferably with master's degree in law (as immediate supervisor). The student must follow the internal rules applicable at the place of practice.

After completing his/her practice, two reports have to be submitted to the Programme management:
- one assessment by the supervisor, describing the student's tasks and his/her performance, mentioning whether the student had the necessary theoretical background and whether he/she was able to apply them in practice, whether the student was able to integrate in a team and work with the others etc. This report has to be signed digitally and send to the programme's secretariat or signed and sent in sealed envelope to the School of Law in Tallinn).
- one self-assessment by the student, explaining where the practice was done, what legal tasks were performed during the practice, what were the benefits of the practice, reflecting on his/her learning achievements (to submit by e-mail to the secretariat of the programme).

There is no specific template for the reports, but please turn to the Programme Director for advice.

The Programme Director will evaluate the reports and decide upon awarding the corresponding 6 ECTS, either as practice in international law (P2OG.02.215) or practice in human rights (P2OG.02.216). If necessary, a meeting to discuss the practice results is organised.",,"Elizabeth Teodora Kasa Malksoo, Katre Luhamaa, Lauri Mälksoo",,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,magistriõpe,,,P2OG.02.194 Inimõigused
ARST.01.119,Eristamatud täidised esihammastele,1.0,kevad,"Selle kursuse käigus õpitakse detailselt tundma esihammaste morfoloogiat; teostama järjest keerukamaid hamba kõvakudede defektide taastamise protseduure kasutades kõrge esteetikaga restauratiivset süsteemi Enamel Plus HR. Praktikumis on vaja valmistada komposiit täidismaterjalist hammas, mis on eristamatu ehtsast hambast. Arvestusliku nõudena valminud tööd hindab komisjon ja parim töö suunatakse rahvusvahelisele konkursile.",Reede,Mare Saag,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Praktiliste tööde sooritamine vastavalt nõuetele.,Loengust ja praktikumidest osavõtt.,
LTOM.02.053,Ruumiandmete analüüs,6.0,kevad,"Ülevaatekursus geoinformaatikas kasutatavatest ruumianalüüsimeetoditest, mis leiavad rakendamist erinevates geograafiaga seotud valdkondades. Kursuse praktikumide käigus leitakse lahendusi mitmetele geoinformaatilistele probleemülesannetele.
Kursus eeldab, et tudengil on varasem kogemus mõne GIS-programmiga (ArcGIS, QGIS).",,"Eveli Sisas, Evelyn Uuemaa, Raivo Aunap",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"doktoriõpe, magistriõpe","30% praktikumitööde hinne
20% lõpuprojekti/ettekanne hinne
50% kirjaliku kontrolltöö hinne","Kohalolek auditooriumis kohustuslik: osaleda viies loengus seitsmest
Praktikumitööd peavad olema sooritatud (vt hindamine)
Seminariettekanne peab olema esitatud",
FLEE.04.209,Eesti keele sõnavara,2.0,kevad,Tutvutakse leksikoloogia ja leksikograafia põhimõistetega ja eesti keele sõnavara struktuuriga. Praktiliste harjutuste käigus laiendatakse teadmisi eesti keele sõnavara osas.,,Maarika Teral,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,Lõplik tulemus kujuneb kirjalikul eksamil.,Eksamile pääsemiseks tuleb osaleda 75 % loengutest ja praktikumidest.,
FLLC.03.003,Prantsuse keele didaktika I,3.0,kevad,"Õpitakse tundma ja analüüsitakse erinevaid prantsuse keele õpetamise meetodeid ja tehnikaid erinevate osaoskuste (kuulamine, lugemine, kõnelemine, kirjutamine) arendamiseks. Õpitakse analüüsima prantsuse keele õppevahendeid ning kasutama neid õpetamistegevuses ning analüüsitakse erinevaid prantsuse keele tunni läbiviimise mudeleid. Tutvutakse prantsuse keele õpetamise olukorraga Eesti koolides, prantsuse keele ainekavadega ja riigieksami nõuetega. Töö toimub seminarivormis üliõpilaste iseseisva ja rühmatööna.",,Anu Treikelder,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,magistriõpe,"Jooksvate praktiliste tööde sooritamine 40%
Õpimapp 60%

Completion of regular home assignments 40%
Portfolio 60%","Osavõtt vähemalt 75% seminaridest.
Üliõpilane on täitnud jooksvad kodused ülesanded, analüüsinud õppematerjale, erinevaid ülesannete tüüpe, koostanud ise ülesandeid ja teinud lühiettekandeid.
Üliõpilane on koostanud ja esitanud õpimapi.

The student has attended at least 75% of the seminars.
The student has completed regular home assignments, having analysed textbooks, various types of activities for language learning/ teaching, compiled exercises ans made short presentations.
The student has compiled and presented a portfolio.",
KKSP.02.035,Liikumisõpetus koolieelses eas,3.0,kevad,"Õppeaine keskendub sellele, et õppija saaks vajalikud oskused ja teadmised tööks koolieelses eas lastega liikumistegevuste läbi viimisel erinevates keskkondades.  Aine koosneb nii teoreetilisest kui ka praktilisest osast.","Teisipäev, Kolmapäev","Kai Kuuspalu, Maret Pihu, Urme Ernits",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,Aktiivne osavõtt kõikidest seminaridest ja praktikumidest. Positiivselt sooritatud iseseisvad tööd. Positiivselt sooritatud lõputöö.,Osavõtt kõikidest seminaridest ja praktikumidest. Positiivselt sooritatud iseseisvad tööd. Puudutud õppetundide järeltööd lepitakse kokku õppejõuga.,
LTAT.02.005,Hägus loogika ja ligikaudsed arvutusmeetodid,6.0,kevad,"Hägus loogika on kujunenud tõhusaks vahendiks probleemide lahendamisel erinevates valdkondades. Selle sünergiline kasutamine koos neuroarvutustega ja evolutsiooniliste tehnikatega võimaldab luua töökindlaid intelligentseid süsteeme. Sellist erinevate meetodite kombinatsiooni tuntakse ka kui ligikaudseid arvutusmeetodeid. Käesolev kursus tutvustab erinevaid ligikaudsete arvutusmeetodeid nt nn klassikalised hägusloogika süsteemid, hägusad neurosüsteemid, granulaarne arvutamine. Granulaarne arvutamine on uus neuroarvutuste paradigma, mis võimaldab luua täpsemaid ja
paremini tõlgendatavaid mudeleid. Kursuse käigus võrreldakse ka üksikute ja kombineeritud tehnikate
kasutamise tulemusi praktilistes olukordades.",,Stefania Tomasiello,,inglise keel,"Eristamata (arv, m.arv, mi)",,"doktoriõpe, magistriõpe","Required:
- 2 mini-tests (up to 12 points, no time constraints, no penalties),
- 1 homework assignment (up to 14 points),
- 1 short presentation (up to 14 points),
- final project (up to 30 points).
To pass: 51 points",The homework should be submitted in due time and positively graded.,
MTMS.02.040,Informatsiooniteooria,3.0,kevad,"Informatsiooniteooria algkursus, milles õpitakse põhimõisteid (entroopia, Kullback-Leibleri kaugus, vastastikune informatsioon jne) ning peamisi tulemusi: Fano võrratus, kodeermisteoreemid, Krafti võrratus, AEP-omadus, kanaliteoreemid. Samuti tutvutakse ergoodilise teooria alustega ning universaalsete koodidega. Aine lõpeb põhimõistete üldistustega pidevatele juhuslikele suurustele  ning maksimaalse entroopia printsiibi tutvustamisega.",,Jüri Lember,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,"Praktikumiülesannete lahendamine,  teooriaküsimustele vastamine suulisel arvestusel.",Osalemine praktikumides.,MTMS.02.001 Tõenäosusteooria I
ARSK.03.017,Sissejuhatus laborimeditsiini,2.0,kevad,"Anda tudengitele ettekujutus sagedasematest põhjustest, mis mõjutavad laboratoorsete uuringute tulemusi. Õpeteda tõlgendama mõningate testide tulemusi ja hinnata haiguste  riske.",,"Kaja Vaagen, Kalle Kisand, Kristiina Kurg, Mailis Tõnisson",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"Kohustuslik.on osaleda loengutes, praktikumides, seminarides.

 Avatud küsimustega testi küsimusest peab olema õigesti vastatud  vähemalt  67%.","Loengutes, praktikumides, seminarides osalemine on kohustuslik.
Kontrolltöö positiivne sooritamine.","ARFS.01.063 Inimese füsioloogia, ARBK.01.043 Meditsiiniline biokeemia, ARMP.03.031 Patofüsioloogia"
LTAT.01.003,Tehisintellekt,6.0,kevad,"Masinõpe, tehisnärvivõrgud. Pilditöötlus, kõneliidesed. Loomuliku keele töötlus. Robotid ja isesõitvad autod.
Mängude strateegia ja mitte mängitavate tegelaste käitumine... Profit!

Õppeaine sobib neile, kes on juba saanud selgeks programmeerimist, algoritme ja andmestruktuure, ning on valmis õppida rakendada neid praktiliste ülesannete lahendamiseks. Peamine sihtgrupp on 2.-3. kursuse informaatika bakatudengid, kuid vajalike taustateadmiste ja -oskuste olemasolul on kõik vaprad ja kartmatud teretulnud!",,"Kairit Sirts, Krista Liin, Mark Fišel, Rainer Vana, Sven Aller",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,Koduülesanded (kuni 42 punkti) + loengute küsimused (kuni 15 punkti) + eksam (kuni 42 punkti) + tagasiside (1 punkt) + boonuspunktid,Eksamile pääsevad kõik,HVEE.04.028 Programmeerimine Pythonis tekstiandmetega
MJJV.11.002,Ettevõtluse alused II,3.0,kevad,"Kursuse käigus töötatakse välja teenuse/toote näidis. Selleks moodustatakse meeskond, valitakse idee, analüüsitakse turg ja konkurendid, koostatakse ärimudel, koostatakse turundusplaan, analüüsitakse finantsaspekte ja vajalike ressursse.",,"Iuliia Trabskaia, Piia Vettik-Leemet",,inglise keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, magistriõpe",Final presentation,Completing all home assignments,
ARFA.02.103,Farmatseutilised abiained,5.0,kevad,"Ravimpreparaatides sisalduvate abiainete ülesandeks on farmakoloogiliselt aktiivsete ainete sobivasse ravimvormi viimise kõrval ka patsientidele manustatavate preparaatide tootmise võimalikuks tegemine või lihtsustamine. Ravimpreparaatide biofarmatseutilised omadused sõltuvad suurel määral kasutatavatest abiainetest. Abiaineid ei käsitleta enam inertsete inaktiivsete ingredientidena, nende iseloomustamisel lähtutakse füüsikaliste ja keemiliste omaduste detailse tundmise kõrval ka nende ohutusest, funktsionaalsusest ning regulatoorsest staatusest.
Käesoleva õppeaine ülesehitus järgib ""Handbook of Pharmaceutical Excipients"" toodud süsteemi. Abiainete klassifikatsioon järgib omakorda EP ravimvormide klassifikatsiooni.",,Urve Paaver,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"Lõplik hindamisvorm on eksam. 
Hinnatakse skaalas A-F.
Kirjalik lõpphindamine (eksam): valikvastustega küsimused.
Eksam:
A - 91-100% õigeid vastuseid.
B - 81-90% õigeid vastuseid.
C - 71-80% õigeid vastuseid
D - 61-70% õigeid vastuseid.
E - 51-60% õigeid vastuseid.
F - alla 51% õigeid vastuseid
Eksam loetakse sooritatuks, kui on saadud vähemalt 51% võimalikest punktidest.","Üliõpilane sooritab semestri jooksul e-testid Moodle keskkonnas (5). Testid loetakse positiivselt sooritatuks kui üliõpilane on saanud tulemuseks 100%. Sooritamiskordade arv pole piiratud. 
Üliõpilane on osalenud 80% loengutest, kõigis seminarides ja esitanud kodutööd/seminariettekanded (kahte viimast hinnatakse skaalal arvestatud/mittearvestatud). Juhul, kui üliõpilane ei osale 80% loengutest või puudub mõjuval põhjusel seminarist, siis täidab ta enne eksamit lisaülesande õppejõu poolt valitud teemal. Õppejõu hinnang peab olema positiivne.","LOKT.00.004 Üldine ja anorgaaniline keemia, ARFS.01.023 Biofüüsika, ARFA.02.099 Analüütiline keemia, ARBK.01.043 Meditsiiniline biokeemia, ARBK.01.042 Orgaaniline ja bioorgaaniline keemia, ARFS.01.063 Inimese füsioloogia"
